"Actions","Možnosti"
"An error occurred while marking notification as read.","Chyba při změně stavu na ""Přečteno""."
"An error occurred while marking the messages as read.","Chyba při změně stavu na ""Přečteno""."
"An error occurred while removing messages.","Chyba při odstraňování zpráv."
"An error occurred while removing the message.","Chyba při odstraňování zprávy."
"Are you sure?","Jste si jisti?"
"Date Added","Datum zveřejnění"
"Last Update","Poslední aktualizace"
"Mark as Read","Označit jako přečteno"
"Mark as read","Označit jako přečteno"
"Message","Zpráva"
"Messages Inbox","Přijaté zprávy"
"Notifications","Upozornění"
"Please select messages.","Prosím vyberte zprávy."
"Read Details","Číst podrobnosti"
"Remove","Odstranit"
"Severity","Důležitost"
"Show List","Zobrazit seznam"
"Show Toolbar","Zobrazit Toolbar (nástrojovou lištu)"
"The message has been marked as read.","Zpráva byla úspěšně označena jako přečtená."
"The message has been removed.","Zpráva byla úspěšně odebrána."
"Total of %d record(s) have been marked as read.","Celkem úspěšně označených záznamů za přečtené: %d."
"Total of %d record(s) have been removed.","Celkem úspěšně odstraněno záznamů: %d."
"Unable to proceed. Please, try again.","Nelze pokračovat. Prosím zkuste to znovu."
"Update Frequency","Frekvence aktualizací"
"Use HTTPS to Get Feed","Použít HTTPS pro zprávy"
"critical","kritická"
"major","vysoká"
"minor","nízká"
"notice","upozornění"
"Error while marking as read. Please try again later.","Chyba při označování jako přečteno. Prosím zkuste to později."
"Error while marking. Please try again later.","Chyba při označování. Prosím zkuste to později."
"Error while removing. Please try again later.","Chyba při odstraňování. Prosím zkuste to později."
