" The customer does not exist in the system anymore.","Zákazník již v systému neexistuje."
" [deleted]","[smazáno]"
" and "," a "
" note that the URLs provided below are the correct values for your current website): ","Všimněte si, že URL uvedené níže jsou správné hodnoty pro Vaši aktuální webovou stránku."
"%s (Default Template from Locale)","%s (Výchozí šablona z překladu)"
"%s cache type(s) disabled.","%s vyrovnávací paměť vypnuta."
"%s cache type(s) enabled.","%s vyrovnávací paměť povolena."
"%s cache type(s) refreshed.","%s vyrovnávací paměti obnoveny."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutní nebo realativní cesta k Magento kořenové instalaci, např. var/export)"
"(For US 2-letter state names)","(Pro USA 2-znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Shift-)Click or drag to change value","(Shift-) Klik nebo tažením změníte hodnotu"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zvednout php memory_limit než změníte tuto hodnotu)"
"(\\t for tab)","(\\t pro tabelátor)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - když probíhá indexování, bude ukončeno a nové indexování se spustí."
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"-- Not Selected --","-- Nevybráno --"
"-- Please Select --","-- Prosím vyberte --"
"-- Please Select Billing Agreement--","-- Prosím vyberte platební podmínky --"
"-- Please Select a Category --","-- Vyberte kategorii --"
"-- Please select --","-- Prosím vyberte --"
"--Please Select--","-- Prosím vyberte --"
"1 Hour","1 hodina"
"10:40 AM","10:40"
"12 Hours","12 hodin"
"12h AM/PM","12h"
