" and "," a "
" note that the URLs provided below are the correct values for your current website): ",""
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutní nebo realativní cesta k Magento kořenové instalaci, např. var/export)"
"(For US 2-letter state names)","(Pro USA 2-znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Shift-)Click or drag to change value","(Shift-) Klik nebo tažením změníte hodnotu"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zvednout php memory_limit než změníte tuto hodnotu)"
"(\\t for tab)","(\\t pro tabelátor)"
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"-- Please Select Billing Agreement--","-- Prosím vyberte platební podmínky --"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","O kalendáři"
"Access denied.","Přístup zamítnut."
"Account Created in:","Účet vytvořen v:"
"Account Created on (%s):","Účet vytvořen v (%s):"
"Account Created on:","Účet vytvořen v:"
"Action","Událost"
"Actions","Události"
"Activate","Aktivovat"
"Add Contents Path","Přidat cestu k obsahu"
"Add Field with URL:","Přidat pole s URL:"
"Add More Templates",""
"Add New Role","Přidat novou roli"
"Add New User","Přidat nového uživatele"
"Add PHP Extension dependency","Přidat závislosti PHP rozšíření"
"Add Package dependency","Přidat závislosti balíčků"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Přidat do seznamu přání"
"Address Type:","Typ adresy:"
"AirMail Template Preview","AirMail Template Preview"
"All","Vše"
"All Websites","Všechny weby"
"All fields","Všechny pole"
"Apply Theme",""
"Archive file name:","Jméno zálohy:"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip tags?","Jste si jisti, že chcete odstranit štítky?"
"As low as:",""
"Attribute Set Name:","Název množiny vlastností:"
"Attributes","Vlastnosti"
"Authors","Autoři"
"Available Products","Dostupné produkty"
"Back","Zpět"
"Big Image","Velký obrázek"
"Billing Address","Fakturační adresa"
"Billing Agreement","Platební podmínky"
"Bundle Items","Položky balení"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Balení s dynamickou cenou nesmí obsahovat vlastní definované možnosti. Nastavení nebylo uloženo."
"CSV / Tab separated","CSV / Oddělená tabulka"
"Cancel URL: ",""
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Carrier",""
"Catalog","Katalog"
"Chairs",""
"Change Orientation",""
"Channel","Kanál"
"Child Transactions",""
"Choose Store View","Vyberte pohled na obchod"
"Choose a selection...","Smazat výběr:"
"Clear","Vymazat"
"Client Session Timeout (sec.)","Session klienta vyprší za (sec.)"
"Close","Zavřít"
"Comments History","Historie komentářů"
"Confirmed email:","Potvrzující email:"
"Connect with the Magento Community","Spojení s komunitou Magento"
"Contents","Obsah"
"Continue","Obsah"
"Country:","Země:"
"Created At",""
"Credit Card %s","Typ platební karty: %s"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Memo History","Historie dobropisů"
"Credit Memo Totals","Dobropisy celkem"
"Current Configuration Scope:","Aktuální rozsah nastavení:"
"Custom","Uživatelský"
"Custom Colors","Zákazníci"
"Customer","Zákazníci"
"Customer Group:","Skupina zákazníků:"
"Customer Since:","Zákazníkem od:"
"Customers","Zákazníci"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","Nástěnka"
"Data Format","Formát dat"
"Data transfer:","Přenos dat:"
"Date selection:","Smazat výběr:"
"Date selector","Výběr data"
"Decimal separator:","Oddělovač desetin:"
"Default (Admin) Values","Výchozí (Admin) hodnota"
"Default Billing Address","Výchozí fakturační adresa"
"Default Response Charset",""
"Default Values","Výchozí hodnota"
"Delete","Smazat"
"Direction:","Směr:"
"Display %s first","Zobrazit prvních %s"
"Distributed under GNU LGPL. See %s for details.","Distribuováno pod GNU LGPL. Pro detaily se podívejte na %s."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.",""
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.",""
"Drag to move","Uchopit pro přesun"
"Edit Filter","Filtry exportu"
"Edit Role","Upravit roli"
"Edit User '%s'","Upravit uživatele '%s'"
"Email","E-mail"
"Email Preview","Náhled emailu"
"Email:","Email:"
"Enable Secure Token:",""
"Enclose Values In:","Hodnoty uzavřené v:"
"Entity Attributes","Vlastnosti"
"Entity type:","Typ entity:"
"Excl. Tax","Bez daně"
"Expiration Date","Datum platnosti"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Export","Export"
"Export FAQ","Export"
"Export Filters","Filtry exportu"
"Export to:","Export do:"
"Export:","Export:"
"Extension","Rozšíření"
"Extensions","Rozšíření"
"FILTERS APPLIED",""
"FTP Host[:Port]","Server FTP [:Port]"
"Field Mapping","Přiřazení pole"
"File Information","Informace o souboru"
"File name:","Jméno souboru:"
"Files","Soubory"
"Final Price","Konečná cena"
"Finished profile execution.",""
"First Name:","Jméno:"
"For latest version visit: %s","Pro poslední verzi navštivte: %s"
"From","Od"
"General Information","Osobní informace"
"General Settings","Obecné nastavení"
"Get help for this page","Získat nápovědu pro tuto stránku"
"Global Record Search","Globální hledání záznamu"
"Go Today","Přejít na dnešek"
"Go to messages inbox",""
"Go to notifications",""
"Google Base Items","Základní položky Google"
"Group:","Skupina:"
"Help Us Keep Magento Healthy - Report All Bugs","Pomozte nám udržovat Magento aktuální - Hlaste všechny chyby"
"Home",""
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.",""
"Ignore","Ignorovat"
"Images","Obrázky"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)",""
"Import FAQ","Import"
"Import Service","Služba import"
"Important: ","Import"
"In Database:","V databázi:"
"In File:","V souboru:"
"In Stock",""
"Inactive Tabs","Interaktivní"
"Incl. Tax","S daní"
"Include","Obsahuje"
"Interactive","Interaktivní"
"Interface Locale: %s","Rozhraní v jazyce: %s"
"Invalid webservice adapter specified.","Chybně vybraný adaptér webové služby"
"Invalid webservice handler specified.","Chybně vybraný ukazatel webové služby"
"Invoice History","Historie faktur"
"Invoice Totals","Faktury celkem"
"Is Closed","Zavřít"
"Issue Number","Problém číslo"
"Issuer: %s","Vydavatel: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Posledních 5 objednávek"
"Last 5 Search Terms","Posledních 5 vyhledávaných výrazů"
"Last Logged In (%s):","Naposledy přihlášen (%s):"
"Last Logged In:","Naposledy přihlášen:"
