"* Required Fields","* Povinné položky"
"-- Select --","--Vyberte--"
"Add New Option","Přidat novou možnost"
"Add Selection","Přidat výběr"
"As Low as","Nejméně"
"As low as","Nejméně"
"Bundle Items","Položky balení"
"Bundle Product","Balení zboží"
"Buy %1$s with %2$s discount each","Kupte %1$se slevou %2$na každém"
"Catalog Product View (Bundle)","Zobrazení produktů v katalogu (balíčků)"
"Checkbox","zaškrtávací políčko"
"Choose a selection...","Zvolte možnost..."
"Close","Zavřít"
"Default","Výchozí"
"Default Qty","Výchozí Množství"
"Default Title","Výchozí nadpis"
"Drop-down","rozbalovací seznam"
"Dynamic","Dynamické"
"Excl. Tax","Bez daně"
"Fixed","Pevné"
"From","Od"
"From:","Od:"
"Gift Message","Přání"
"Incl. Tax","S daní"
"Input Type","Vstupní typ"
"Is Required","Je vyžadováno"
"Message:","Zpráva:"
"Multiple Select","Vícenásobný výběr (označení)"
"N/A","nedefinováno"
"No options of this product are available.","Tento produkt nemá žádné dostupné možnosti."
"None","Žádné"
"Percent","Procent"
"Percent Discount","Procentní sleva"
"Please Select Products to Add","Vyberte produkt k přidání"
"Please enter search conditions to view products.","Zadejte vyhledávací pravidla pro zobrazení produktů."
"Please select options for product.","Zvolte možnosti pro produkt."
"Please specify product option(s).","Specifikujte možnosti produktu."
"Position","Pozice"
"Price Range","Cenový rozsah"
"Price Type","Typ ceny"
"Price as configured","Cenový rozsah"
"Qty:","Množství:"
"Radio Buttons","Přepínač"
"Required options are not selected.","Vyžadovaná možnost není označena."
"Selected required options are not available.","Označená požadovaná možnost není dostupná."
"Separately","Odděleně"
"Ship Bundle Items","Doručení položek balení"
"Shipment","Zásilka"
"Store View Title","Nadpis pohledu na obchod"
"There is no defined renderer for ""%s"" option type.","Není definováno zobrazení pro tento typ možnosti (%s)."
"This product is also part of bundle(s)","Tento produkt je také součástí balení"
"To","Pro"
"To:","Pro:"
"Together","Dohromady"
"Use Default Value","Použít výchozí hodnotu"
"User Defined Qty","Uživatelem definované množství"
