"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"%s and above","%s a více"
"<span>%s </span>Item(s)","Položek:<span> %s</span>"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"(Will make search for the query above return results for this search.)","(Vyrobit hledání nad výsledky vrácené tímto dotazem.)"
"* Required Fields","* Povinná pole"
"-- Please Select --","-- Prosím vyberte --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Výchozí hodnota, pokud není vyplněno je 86400. Chcete-li aktualizovat okamžitě, dejte vymazat cache bloků HTML."
"A group with the same name already exists.","Skupina s tímto jménem již existuje."
"A name is required","Je požadováno jméno"
"A product type is not defined for the indexer.","Typ produktu není definován pro indexer."
"ALL GROUPS","VŠECHNY SKUPINY"
"AM","Dop."
"Action","Událost"
"Add Attribute","Přidat vlastnost"
"Add Design Change","Přidat změnu vzhledu"
"Add Group","Přidat skupinu"
"Add New","Přidat nové"
"Add New Attribute","Přidat novou vlastnost"
"Add New Attribute Set","Přidat novou množinu vlastností"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou možnost"
"Add New Row","Přidat nový řádek"
"Add New Search Term","Přidat nový výraz hledání"
"Add New Set","Přidat novou množinu"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt na stránky"
"Add Root Category","Přidat novou hlavní kategorii"
"Add Subcategory","Přidat podkategorii"
"Add Tax","Přidat daň"
"Add Tier","Přidat slevu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Additional Information","Další informace"
"Alert Urls","Varování url"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All Websites","Všechny stránky"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všechny produkty z této množiny budou smazány! Jste si jisti, že chcete smazat tuto množinu atributů?"
"Allow All Products per Page","Dovolit všechny produkty na stránku"
"Allow Dynamic Media URLs in Products and Categories","Povolit dynamické url pro média v produktech a kategoriích"
"Allow HTML Tags on Frontend","Povolit HTML značky v obchodě"
"Allowed File Extensions","Povolené přípony souboru"
"Allowed file extensions to upload","Povolené přípony souboru pro nahrávání"
