"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Pravidla katalogových cen založených na vlastnosti ""%s"" jsou vypnuta."
"Actions","Události"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"An error occurred while deleting the rule. Please review the log and try again.","Chyba při mazání pravidla. Prosím prohlédněte si logy a zkuste to znovu."
"An error occurred while saving the rule data. Please review the log and try again.","Chyba při ukládání pravidla. Prosím prohlédněte si logy a zkuste to znovu."
"Apply Rules","Použít pravidla"
"Attribute Set","Sada vlastností"
"Catalog","Katalog"
"Catalog Price Rule","Pravidlo katalogových cen"
"Catalog Price Rules","Pravidla katalogových cen"
"Category","Kategorie"
"Conditions","Podmínky"
"Conditions (leave blank for all products)","Pravidla (ponechte prázdné pro všechny produkty)"
"Conditions Combination","Kombinace podmínek"
"Customer Groups","Skupiny zákazníků"
"Customer Registered: %s","Zákazník registrován: %s"
"Customer is a New Buyer: %s","Zákazník je nový nakupující: %s"
"Date Expire","Datum vyprší"
"Date From","Datum Od"
"Date Start","Datum začátku"
"Date To","Datum Do"
"Delete Rule","Smazat pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"From Date","Od data"
"General Information","Všeobecné informace"
"ID","ID"
"Inactive","Neaktivní"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"Name: %s","Název: %s"
"New Rule","Nové pravidlo"
"No","Ne"
"Options","Možnosti"
"Priority","Priorita"
"Product Attribute","Vlastnost produktu"
"Promotions","Propagace"
"Rule Information","Informace o pravidlech"
"Rule Name","Jméno pravidla"
"Save Rule","Uložit pravidlo"
"Save and Apply","Uložit a použít"
"Save and Continue Edit","Uložit a pokračovat v úpravách"
"Start at: %s","Začátek: %s"
"Status","Stav"
"Stop Further Rules Processing","Zastavit zpracování dalších pravidel"
"The rule has been deleted.","Pravidlo bylo smazáno."
"The rule has been saved.","Pravidlo bylo uloženo."
"The rules have been applied.","Pravidla byla použita."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Zde jsou pravidla která byla změněna, ale nepoužita. Pro okamžitý efekt v katalogu, klepněte na Použít pravidla."
"This rule no longer exists.","Tato pravidlo již neexistuje."
"To Date","do data"
"Unable to apply rules.","Nelze použít pravidla."
"Unable to find a rule to delete.","Nenalezeno pravidlo k smazání."
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Websites","Webové stránky"
"Wrong rule specified.","Špatně vybrané pravidlo."
"Yes","Ano"
"Comments History","Historie komentářů"
"Credit Memos","Dobropisy"
"Gift Messages","Přání"
"Invoices","Faktury"
"Order Credit Memos","Dobropisy objednávky"
"Order Gift Messages","Přání k objednávkám"
"Order History","Historie objednávky"
"Order Invoices","Faktury objednávky"
"Order Shipments","Zásilky objednávky"
"Rule was successfully deleted","Pravidlo bylo úspěšně odstraněno"
"Rule was successfully saved","Pravidlo bylo úspěšně uloženo"
"Rules were successfully applied","Pravidla byla úspěšně použita"
"Shipments","Zásilky"
"Type","Typ"
