"%s was added to your shopping cart.","%s byl úspěšně přidán do košíku."
"%s was updated in your shopping cart.","%s byl úspěšně upraven ve Vašem košíku."
"* Required Fields","* Povinná pole"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat nové pravidlo"
"Add coupon code for shopping cart","Přidat kód kupónu pro nákupní košík"
"Add product to shopping cart","Přidat produkt do košíku"
"Add product(s) to shopping cart","Přidat produkt(y) do košíku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Additional Product Info","Další informace o produktu"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Already registered?","Už máte registraci?"
"An error occurred in the process of payment","Vyskytla se chyba při zpracování platby"
"An error occurred while deleting this condition.","Chyba při mazání této podmínky."
"An error occurred while saving this condition.","Chyba při ukládání tohoto pravidla."
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Určitě chcete tuto položku vyjmout z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět k fakturačním informacím"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shipping Information","Zpět k dodacím informacím"
"Back to Shopping Cart","Zpět do košíku"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Platební údaje"
"Billing Information - %s","Platební údaje - %s"
"Cancel Coupon","Zrušit kupón"
"Cannot add item to the shopping cart.","Položku nelze přidat do košíku."
"Cannot add the item to shopping cart","Položku nelze přidat do košíku"
"Cannot add the item to shopping cart.","Položku nelze přidat do košíku."
"Cannot apply the coupon code.","Kupón nelze použít."
"Cannot configure product.","Produkt nelze upravit."
"Cannot open the overview page","Nelze otevřít stránku přehledem"
"Cannot process the item.","Položku nelze zpracovat."
"Cannot remove the item.","Položku nelze odebrat."
"Cannot update shopping cart.","Košík nelze aktualizovat."
"Cannot update the item.","Položku nelze aktualizovat."
"Card Verification Number Visual Reference","Ověřovací číslo karty"
"Cart Product Api","Api produktu košíku"
"Cart Subtotal:","Celkem v košíku:"
"Change","Změna"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Text zaškrtávacího pole"
"Checkout","Platba"
"Checkout Conditions","Pravidla plateb"
"Checkout Method","Platební metoda"
"Checkout Options","Možnosti platby"
"Checkout Progress Wrapper","Postup platby"
"Checkout Section","Platby"
"Checkout Terms and Conditions","Podmínky platby"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Clear Shopping Cart","Vymazat vše"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Stiskněte <a href=""%s"" onclick=""this.target='_blank'"">zde vytisknete</a> kopii potvrzení Vaší objednánvky."
"Click <a href=""%s"">here</a> to continue shopping.","Prosím, <a href=""%s"">pokračujte v nákupu</a>."
"Close","Zavřít"
"Company","Společnost"
"Condition Name","Jméno podmínky"
"Configurable Product Image","Obrázek nastavitelného produktu"
"Configure Cart Item","Nastavit produkt košíku"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat k platebním údajům"
"Continue to Review Your Order","Pokračovat ke kontrole objednávky"
"Continue to Shipping Information","Pokračovat k dodacím údajům"
"Country","Země"
"Coupon code ""%s"" is not valid.","""%s"" kód kupónu není správný."
"Coupon code ""%s"" was applied.","Kód kupónu ""%s"" byl úspěšně použit."
"Coupon code was canceled.","Kód kupónu byl zrušen."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit dodací adresu"
"Create an order from shopping cart","Vytvořit objednávku z nákupního košíku "
"Create shopping cart","Vytvořit nákupní košík"
"Customer Information","Informace o zákazníkovi"
"Customer's information","Informace o zákazníkovi"
"Data saving problem","Chyba při ukládání dat"
"Default Billing","Výchozí fakturační"
"Default Shipping","Výchozí dodací"
"Delete Condition","Smazat pravidlo"
"Details","Detaily"
"Disabled","Neaktivní"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit souhrn košíku"
"Display Shopping Cart Sidebar","Zobrazit postranní lištu košíku"
"Display item quantities","Zobrazit množství položek"
"Display number of items in cart","Zobrazit množství položek v košíku"
"Display number of items in wishlist","Zobrazit množství položek v seznamu přání"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit dodací adresu"
