"Collected Files Count","Počet shromážděných souborů"
"Compilation","Kompilace"
"Compilation State","Stav kompilace"
"Compilation error","Chyba kompilace"
"Compiled","Zkompilováno"
"Compiled Scopes Count","Počet zkompilovaných oblastí"
"Compiler Status","Stav kompilátoru"
"Compiler include path is disabled.","Vnořené cesty vypnuty."
"Compiler include path is enabled.","Vnořené cesty povoleny."
"Directory ""%s"" must be writeable","Adresář ""%s"" musí být zapisovatelný"
"Disable","Vypnout"
"Disabled","Vypnuto"
"Enable","Zapnout"
"Enabled","Zapnuto"
"File ""%s"" must be writeable","Soubor ""%s"" musí být zapisovatelný"
"Not Compiled","Nezkompilováno"
"Run Compilation Process","Spustit kompilaci"
"Scopes Compilation Settings","Nastavení oblastí kompilace"
"System","Systém"
"The compilation has completed.","Kompilace dokončena."
"Tools","Nástroje"
"Compilation successfully finished","Kompilace úspěšně dokončena"
