"1.5.0.0 & later","1.5.0.0 a vyšší"
"Action","Akce"
"Add Author","Přidat autora"
"Add Contents Path","Přidat cestu k obsahu"
"Add PHP Extension dependency","Přidat závislosti PHP rozšíření"
"Add Package dependency","Přidat závislosti balíčků"
"Add files","Přidat soubory"
"Authors","Autoři"
"Channel","Kanál"
"Contents","Obsah"
"Create Extension Package","Vytvořit balíček rozšíření"
"Dependencies","Závislosti"
"Description","Popis"
"Edit Extension","Upravit příponu"
"Email","Email"
"Extension","Rozšíření"
"Extensions","Rozšíření"
"Failed to create the package.","Chyba při vytvoření balíčku."
"Failed to load the package data.","Chyba při načítání dat balíčku."
"Failed to save the package.","Chyba při ukládání balíčku."
"Files","Soubory"
"Folder","Adresář"
"Ignore","Ignorovat"
"Include","Obsahuje"
"License","Licence"
"License URI","Url licence"
"Load Local Package","Načíst lokální balíčky"
"Load local Package","Načíst lokální balíčky"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manažer"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Jméno"
"New Extension","Nové rozšíření"
"PHP Version","PHP verze"
"Package","Balík"
"Package Extensions","Rozšíření balíčků"
"Package File Name","jméno balíku"
"Package Info","Info o balíčku"
"Packages","Balíčky"
"Path","Cesta"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informace o finální verzi"
"Remove","Odstranit"
"Save As...","Uložit jako..."
"Save Data and Create Package","Uložit data a vytvořit balíček"
"Save package with custom package file name","Uložit balíček s vlastním jménem"
"Summary","Shrnutí"
"Supported releases","Podporované verze"
"System","Systém"
"Target","Cíl"
"The package %s data has been loaded.","Data balíčku %s byla načtena."
"The package data has been saved.","Data balíčku byla uložena."
"There was a problem saving package data","Nastal problém při ukládání dat balíčku"
"Type","Typ"
"User","Uživatel"
