"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Plánování úloh) - všechny časy jsou v minutách"
"Daily","Denně"
"Failure History Lifetime","Délka historie selhání"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pro správně generované URL během běhu cronu se prosím ujistěte, že Web > Zabezpečení a Nezabezpečeno mají vyplněny výchozí URL."
"Generate Schedules Every","Vytrořit událost každých"
"History Cleanup Every","Vymazat historii každých "
"Invalid callback: %s::%s does not exist","Chybné zpětné volání: %s::%s neexistuje"
"Invalid model/method definition, expecting ""model/class::method"".","Chybná definice model/metoda, očekává se ""model/třída::metoda""."
"Missed if Not Run Within","zmeškáno pokud neběží do"
"Monthly","Měsíčně"
"No callbacks found","Zpětné volání nenalezeno"
"Schedule Ahead for","Plánovat dopředu"
"Success History Lifetime","Po jaké době promazat historii úspěšně provedených úkonů"
"Too late for the schedule.","Příliš pozdě na událost."
"Unable to save the cron expression.","Nelze uložit výraz do Cronu."
"Unknown error.","Neznámá chyba."
"Weekly","Týdně"
