"""%s"" contains not only digit characters.","""%s"" nesmí obsahovat pouze číslice."
"""%s"" does not fit the entered date format.","""%s"" není platný formát data."
"""%s"" exceeds the allowed file size.","""%s"" překračuje povolenou velikost souboru."
"""%s"" exceeds the allowed length.","""%s"" překračuje povolenou délku."
"""%s"" has not only alphabetic and digit characters.","""%s"" neobsahuje pouze znaky anglické abecedy a číslice."
"""%s"" has not only alphabetic characters.","""%s"" neobsahuje pouze znaky anglické abecedy."
"""%s"" height exceeds allowed value of %s px.","""%s"" výška přesahuje povolený rozměr %s px."
"""%s"" invalid type entered.","""%s"" chybný typ vstupu."
"""%s"" is a required value.","""%s"" je vyžadovaná hodnota."
"""%s"" is an empty string.","""%s"" je prázdný řetězec."
"""%s"" is not a valid URL.","""%s"" není platná adresa URL."
"""%s"" is not a valid date.","""%s"" není platné datum."
"""%s"" is not a valid email address.","""%s"" není platná emailová adresa."
"""%s"" is not a valid file","""%s"" není platný soubor"
"""%s"" is not a valid file extension.","""%s"" není platná přípona souboru."
"""%s"" is not a valid file.","""%s"" není platný soubor."
"""%s"" is not a valid hostname.","""%s"" není platné jméno serveru."
"""%s"" is not a valid image format","""%s"" není platný formát obrázku"
"""%s"" length must be equal to or greater than %s characters.","""%s"" délka musí být rovna nebo větší než %s znaků."
"""%s"" length must be less than or equal to %s characters.","""%s"" délka musí být menší nebo rovna %s znakům."
"""%s"" width exceeds allowed value of %s px.","""%s"" šířka přesahuje povolený rozměr %s px."
"* Required Fields","* Povinná pole"
"A new password has been sent.","Nové heslo bylo odesláno."
"ALL GROUPS","VŠECHNY SKUPINY"
"Account Dashboard","Nástěnka účtu"
"Account Information","Informace o účtu"
"Account Sharing Options","Možnosti sdílení účtů"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Je vyžadováno potvrzení účtu. Zkontrolujte prosím svojí emailovou schránku, jestli Vám přišel ověřující email a klikněte v něm na potvrzující odkaz. Pro znovuzaslání potvrzujícího emailu <a href=""%s"">klikněte zde</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Je vyžadováno potvrzení účtu. Zkontrolujte prosím svojí emailovou schránku, jestli Vám přišel ověřující email a klikněte v něm na potvrzující odkaz. Pro znovuzaslání potvrzujícího emailu <a href=""%s"">klikněte zde</a>."
"Action","Událost"
"Add New Address","Přidat novou adresu"
"Add New Customer","Přidat nového zákazníka"
"Add New Customer Group","Přidat novou skupinu zákazníků"
"Added From","Přidáno od"
"Additional Address Entries","Další adresy"
"Address","Adresa"
"Address Book","Adresář"
"Address Books","Adresář"
"Address Information","Informace o adrese"
"Address Templates","Šablony adres"
"Addresses","Adresy"
"Admin","Admin"
"All","Vše"
"All Store Views","Pohled na všechny obchody"
"All countries","Všechny země"
"Always optional.","Vždy volitelné."
"Amount","Částka"
"An error occurred while deleting the address.","Při mazání adresy došlo k chybě."
"An error occurred while retrieving the option value: %s.","Chyba během příjmu hodnoty volby: %s."
"An error occurred while saving the collection, aborting. Error: %s","Chyba při ukládání kolekce, přerušuji. Chyba: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Bylo specifikováno neplatné id volby pro %s (%s), záznam byl vynechán."
"Approved","Schválený"
"Are you sure that you want to remove this item?","Jste si jisti, že chcete odebrat tuto položku?"
"Are you sure you want to cancel adding of this address?","Určitě chcete zrušit přidávání této adresy?"
"Are you sure you want to delete this address?","Určitě chcete tuto adresu smazat?"
"Are you sure?","Jste si jisti?"
"Array of Entity collections is expected.","Je očekáváno pole vlastností."
"Assign a Customer Group","Přiřadit zákaznickou skupinu"
"Attribute object is undefined","Vlastnost objektu není definována"
"Average Sale","Průměrné prodeje"
"Back","Zpět"
"Back - link to the previously viewed page","Zpět - odkaz na předchozí zobrazené stránky"
"Back to Login","Zpět k přihlášení"
"Bad request.","Chybný požadavek."
"Bill to Name","Účet na jméno"
"Bought From","Koupený od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Díky zákaznickému účtů můžete rychleji zaplatit, uložit více dodacích adres, sledovat Vaše objednávky a mnoho dalšího."
