"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Odkaz</a>"
"Access denied to destination folder ""%s"".","Přístup do cílového adresáře ""%s"" odepřen."
"An error occurred while opening file: ""%s"".","Vyskytla se výjimka při otvírání souboru: ""%s""."
"Could not load file: ""%s"".","Nemohu nahrát soubor: ""%s""."
"Could not save file: %s.","Nemohu uložit soubor: %s."
"Declared adapter %s was not found.","Zvolený adaptér %s nenalezen."
"Destination folder ""%s"" does not exist or there is no access to create it.","Cílový adresář ""%s"" neexistuje nebo není přístupný pro vytvoření."
"Destination folder ""%s"" is not a directory.","Cílová složka ""%s"" není adresář."
"Destination folder ""%s"" is not writable.","Cílová složka ""%s"" není zapisovatelná."
"Done","Hotovo"
"Dry run set, stopping execution.","Zkouška na nečisto, zastavit provádění."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Chyba při mapování polí: Seznam namapovaných polí není definován."
"File ""%s"" does not exist.","Soubor ""%s"" neexistuje."
"Found %d rows.","Nalezeno %d řádků."
"Less than a minute","Za poslední minutu"
"Loaded successfully: ""%s"".","Úspěšně nahráno: ""%s""."
"Memory Used: %s","Použitá paměť: %s"
"Method ""%s"" not defined in adapter %s.","Metoda ""%s"" není definována v adaptéru %s."
"Method ""%s"" was not defined in adapter %s.","Metoda ""%s"" není definována v adaptéru %s."
"Please declare ""adapter"" and ""method"" nodes first.","Prosím nejprve deklarujte ""adaptér"" a ""metodu"" uzlu."
"Processed records: %s","Zpracovaných záznamů: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Úspěšně uloženo: ""%s"" [%d bytů]."
"Sheet 1","List 1"
"Skip undefined row.","Přeskočeny nedefinované řádky."
"Starting %s :: %s","Začátek %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Cílový adresář ""%s"" neexistuje nebo není přístupný pro vytvoření."
"Total records: %s","Celkem záznamů: %s"
"hour","hodina"
"hours","hodiny"
"minute","minuta"
"minutes","minuty"
