" in rows: "," V: "
"-- Please Select --","-- Prosím vyberte --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptér musí být instancí Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Typ adaptéru nesmí být prázdný řetězec"
"Can not determine attribute filter type","Nelze určit atribut typu filtru"
"Can not find required columns: ","Nelze nalézt povinný sloupec: "
"Can not get autoincrement value","Nelze získat automaticky se zvyšující hodnotu"
"Check Data","Zkontrolovat data"
"Column names has duplicates","Jména sloupců jsou duplicitní"
"Column names is empty or is not an array","Jména sloupců jsou prázná a nebo nejsou v rozsahu"
"Column names: ""%s"" are invalid","Jméno sloupce: ""%s"" je neplatné"
"Continue","Pokračovat"
"Data is invalid or file is not uploaded","Chybná data nebo nahraný soubor"
"Destination directory is not writable","Do cílového adresáře nelze zapisovat"
"Destination file is not writable","Do cílového souboru nelze zapisovat"
"Destination file path must be a string","Cesta k souboru musí být řetězec"
"Entity Attributes","Vlastnosti objektu"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adaptér objektu musí být instancí Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Neznámá entita (objekt)"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Typ modelu entity musí být instancí Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Typ modelu entity musí být instancí Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Chyba ve struktuře dat. Vlastnosti jsou pomíchány"
"Error in data structure: entity codes are mixed","Chyba ve struktuře dat. kódy entit jsou pomíchány"
"Export","Export"
"Export FAQ","Exportovat Často kladené dotazy"
"FAQ","Často kladené dotazy"
"File does not contain data. Please upload another one","Soubor neobsahuje data. Prosím nahrajte jiný"
"File format is unknown","Neznámý formát souboru"
"File is partially valid, but import is not possible","Soubor je částečně platný, ale import není možný"
"File is totally invalid. Please fix errors and re-upload file","Soubor obsahuje chyby. Prosím opravte je a nahrajte ho znovu"
"File is valid! To start import process press ""Import"" button","Kontrola souboru OK! Pro zahájení importu stiskněte tlačítko Importovat"
"File is valid, but import is not possible","Soubor je v pořádku, ale import není možný"
"Header column names already set","Jména sloupců jsou již nastavena"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export (Často kladené dotazy)"
"Import FAQ","Importovat Často kladené dotazy"
"Import successfully done.","Import byl úspěšně dokončen."
"Import/Export","Import/Export"
"In/Out","Vstup/Výstup"
"Input entity code is not equal to entity adapter code","Vstupní kód entity neodpovídá typu kódu adaptéru entity"
"Invalid entity","Chybná entita"
"Invalid file format","Chybný formát souboru"
"Invalid parameters","Chybné parametry"
"Invalid seek position","Neplatná pozice vyhledávání"
"Invalid value for '%s'","Chybná hodnota pro '%s'"
"No filter data provided","Žádný filtr podle data"
"No source specified","Nevybrán zdroj"
"No valid data sent","Neodeslána platná data"
"No writer specified","Nespecifikován zápis"
"Node does not has model token tag","Uzel nemá ""model token tag"""
"Not implemented yet","Zatím neimportováno"
"Please fix errors and re-upload file","Prosím opravte chyby a nahrajte soubor znovu"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Prosím opravte chyby a nahrajte soubor znovu, nebo prostě stiskněte tlačítko ""Importovat"" a řádky s chybou budou přeskočeny"
"Some other FAQ","Některé další často kladené otázky"
"Source file moving failed","Přesun zdrojového souboru se nepodařil"
"Source file path must be a string","Cesta k souboru musí být řetězec"
"Source is not set","Zdroj není nastaven"
"Status","Stav"
"System busy","Systém je zaneprázdněn"
"There are no product types available for export","Žádné typy produktů s možností exportu"
"Total size of uploadable files must not exceed %s","Velikost nahrávaného souboru nesmí přeáhnout %s"
"Uploaded file has no extension","Nahrávaný soubor nemá příponu"
"Validation Results","Výsledek ověření"
