"%s Index process is working now. Please try run this process later.","%s nyní se provádí zpracování indexu. Prosím zkuste spustit tento proces později."
"%s index was rebuilt.","index %s byl přegenerován."
"'%s' Index Process Information","Informace o zpracování indexu '%s'"
"Action","Akce"
"Cannot initialize the indexer process.","Nemohu inicializovat indexovací proces."
"Change Index Mode","Změna možnosti indexování"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Stiskněte pro přechod do <a href=""%s"">Správy cache</a> a obnovte cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Stiskněte pro přechod do <a href=""%s"">Správy indexů</a> a obnovte požadované indexy."
"Description","Popis"
"Disable","Vypnout"
"Enable","Zapnout"
"General","Hlavní"
"Index","Index"
"Index Description","Popis indexu"
"Index Management","Nastavení indexu"
"Index Mode","Index Mode"
"Index Name","Jméno indexu"
"Index mode","Index mode"
"Indexer code is not defined.","Kód indexování není definován."
"Indexer model is not defined.","Model indexování není definován."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model by měl rozšířit Mage_Index_Model_Indexer_Abstract."
"Last Run","Naposledy spuštěno"
"Manual Update","Ruční aktualizace"
"Mode","Režim"
"Never","Nikdy"
"One or more of the Indexes are not up to date:","Jeden nebo více indexů nejsou aktuální:"
"Pending Events","Čekající události"
"Please select Index(es)","Prosím vyberte indexy"
"Please select Indexes","Prosím vyberte indexy"
"Process Information","Informace o zpracování"
"Processing","Zpracovávám"
"Ready","Připraven"
"Refresh","Obnovit"
"Reindex Data","Přeindexovat data"
"Reindex Required","Je vyžadováno přeindexování"
"Status","Stav"
"System","systém"
"The index has been saved.","Index byl uložen."
"There was a problem with reindexing process.","Nastal problém při přeindexování."
"There was a problem with saving process.","Nastal problém při ukládání."
"Total of %d index(es) have changed index mode.","Celkem změněných indexů: %d."
"Total of %d index(es) have reindexed data.","Celkem aktualizovaných indexů: %d."
"Update on Save","Aktualizovat po uložení"
"Index was saved successfully.","Index byl úspěšně uložen."
