"An error occurred while clearing the external full page cache.","Nastala chyba při čištění externí celostránkové cache."
"Cookie Lifetime (seconds)","Životnost cookie (v sekundách)"
"Enable External Cache","Zapnout externí cache"
"External Cache Control","Ovládání externí cache"
"External Full Page Cache Settings","Nastavení externí celostránkové cache"
"External full page cache.","Externí celostránková cache."
"Failed to load external cache control","Chyba při načítání ovládání externí cache"
"Flush External Page Cache","Vyprázdnit externí cache stránek"
"If empty, default value will be used.","Pokud je prázdné, použije se výchozí hodnota."
"The external full page cache has been cleaned.","Externí celostránková cache byla vyčištěna."
"Zend Full Page Cache","Zend celostránková cache"
