"%s %s %s - %s. %s. %s",""
"3D Secure",""
"3D Secure Card Validation","3D ověření platební karty"
"API Login ID","API ID přihlášení"
"Accepted Currency","Povolené měny"
"Allow Partial Authorization",""
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.",""
"Authorize Only","Pouze pro autorizované"
"Authorize and Capture","Autorizovat a přijmout"
"Authorize.Net Transaction ID %s",""
"Authorize.net","Authorize.net"
"Cancel",""
"Centinel Api URL","Centinel API URL"
"Credit Card Types","Typ platební karty"
"Credit Card Verification","Ověření platební karty"
"Credit Card: xxxx-%s","Typ platební karty"
"Debug","Ladění"
"Email Customer","Zákaznický email"
"Enabled","Aktivní"
"Error in payment gateway.","Chyba v platební bráně"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).",""
"Gateway error: %s","Chyba brány: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.",""
"Invalid amount for authorization.","Chybné množství pro autorizaci."
"Invalid amount for capture.","Chybné množství pro autorizaci."
"Invalid amount for partial authorization.","Chybné množství pro autorizaci."
"Invalid amount for refund.","Chybné množství pro autorizaci."
"Invalid split tenderId ID.",""
"Maximum Order Total","Maximální objednávka"
"Merchant's Email","Email obchodníka"
"Minimum Order Total","Minimální objednávka"
"New Order Status","Nový stav objednávky"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment canceling error.","Chyba při autorizaci platby."
"Payment capturing error.","Chyba při autorizaci platby."
"Payment from Applicable Countries","Platby z použitelných zemí"
"Payment from Specific Countries","Platby z vybraných zemí"
"Payment partial authorization error.","Chyba při autorizaci platby."
"Payment refunding error.","Chyba při autorizaci platby."
"Payment voiding error.","Chyba při autorizaci platby."
"Processed Amount",""
"Remaining Balance",""
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant",""
"Shopping cart contents and/or address has been changed.",""
"Sort Order","Pořadí objednávek"
"Test Mode","Testovací režim"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.",""
"There was an error canceling transactions. Please contact us or try again later.",""
"Title","Nadpis"
"Transaction Key","Klíč transakce"
"You have reached the maximum number of credit card allowed to be used for the payment.",""
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.",""
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.",""
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.",""
"Your payment has been cancelled. All authorized amounts have been released.",""
"amount %s",""
"authorize","Authorize.net"
"authorize and capture","Autorizovat a přijmout"
"capture",""
"failed","Aktivní"
"refund",""
"successful",""
"void",""
"Error in authorizing the payment","Chyba při autorizaci platby"
"Error in capturing the payment","Chyba při příjmu platby"
"Error in refunding the payment","Chyba při placení"
"Error in refunding the payment.","Chyba při placení"
"Error in retrieving the transaction","Chyba při obdržení transakce"
"Fraud order status","Stav trestního zastavení "
"Invalid amount for authorization","Chybné množství pro autorizaci"
"Invalid transaction id","Chybné id transakce"
"#~ ""Live: <strong>https://payflowpro.paypal.com/transaction</strong><br /""#~ "">Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>""","#~ ""Skutečné: <strong>https://payflowpro.paypal.com/transaction</strong><br /""#~ "">Testovací: <strong>https://pilot-payflowpro.paypal.com/transaction</""#~ ""strong>"""
"Merchant Login","Přihlášení obchodníka"
"Partner","Partner"
"Password","Heslo"
"Payflow Pro","PayflowPro"
"Payment authorization transaction has been declined.","Platba byla zamítnuta."
"Proxy Host","Proxy"
"Proxy Port","Proxy port"
"TENDER","NABÍDKA"
"URL","URL"
"Use Proxy","Použít Proxy"
"User","Uživatel"
"VERBOSITY","MNOHOMLUVNOST"
"Voided transaction","Zrušená transakce"
