"-OR-","-NEBO-"
"2-pixel perimeter around the header space.",""
"3D Secure","3D Secure"
"3D Secure Card Validation","3D ověření platební karty"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.",""
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Zahajte přijímání plateb prostřednictvím PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.",""
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Záloha (držet po dobu sporu nebo do vyšetření)"
"ACH Deposit (Reversal)","AHC Záloha (zrušení)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","AHC Záloha"
"API Authentication Methods","API autentizační metody"
"API Certificate","API certifikát"
"API Password","API heslo"
"API Signature","API podpis"
"API Username","API uživatelské jméno"
"API Uses Proxy","API používá Proxy"
"API/Integration","API/integrace"
"API/Integration Settings","API/nastavení integrace"
"Ability for buyer to purchase without PayPal account.","Povolit pro uživatele bez účtu PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.",""
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.",""
"Acceptance Mark","Značka přijetí"
"Acceptance Mark Image",""
"Account-to-Account Payment, initiated by PayPal",""
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.",""
"Additional Options","Další volby"
"Address Verification System Response",""
"All the address information matched","Všechny adresy obsahující"
"Allow in Billing Agreement Wizard",""
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).",""
"Allowed Credit Card Types","Povolené typy karet"
"Also affects mini-shopping cart.","Také ovlivňuje minikošík."
"Api/Integration","Api/integrace"
"Ask Customer","Zeptat se zákazníka"
"Attempted Authentication, Bad Result","Pokus o ověření - špatný výsledek"
"Attempted Authentication, Good Result","Pokus o ověření - dobrý výsledek"
"Auction Payment other than through eBay","Typ aukce jinak než prostřednictvím eBay"
"Authenticated, Bad Result","Ověřeno - špatný výsledek"
"Authenticated, Good Result","Ověřeno - dobrý výsledek"
"Authorization","Autorizace"
"Authorization transaction is required to void.","Je vyžadována autorizace transakce."
"Auto","Automaticky"
"AutoSweep","AutoSweep"
"Available Balance","Disponibilní zůstatek"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","Fakturační adresa"
"Billing Agreement Signup ","Podpis platebních podmínek"
"Billing Information","Platební údaje"
"Bonus for first ACH Use","Bonus za první použití ACH"
"Buyer Credit Payment","Buyer Credit Payment"
"By default it is ""reports.paypal.com"".","Ve výchozím nastavení je ""reports.paypal.com""."
"CVV2 Check Result by PayPal","CVV2 zkontrolujte výsledek na PayPal"
"Can not send new order email.","Nelze odesílat nové objednávky emailem."
"Cannot create target file for reading reports.","Nelze vytvořit cílový soubor pro čtení zpráv."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit dodací adresu"
"Charge-off","Charge-off"
"Chargeback","Zúčtování"
"Chargeback by customer.","Chargeback by customer."
"Checkout with PayPal","Zaplatit PayPalem"
"Completion Date","Termín dokončení"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Připojení k PayPal SFTP serveru  pro vyzvednutí nových zpráv. Jste si jisti, že chcete pokračovat?"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Coupon Redemption","Výplatní kupón"
"Credit","Kredit"
"Credit Card Settings","Nastavení kreditních karet"
"Currency Conversion required to cover negative balance","Přepočet měny potřebné na pokrytí záporného salda"
"Custom","Vlastní"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Vlastní cesta"
"Customer complaint.","Stížnost zákazníka."
"Customer did not include a confirmed address.","Zákazník nemá potvrzenou adresu."
"Customer triggered a money-back guarantee.","Customer triggered a money-back guarantee."
"Daily","Denně"
"Debit","Debet (dluh)"
"Debit Card Cash Back","Debit Card Cash Back"
"Debit Card Transaction","Debit Card Transaction"
"Debit or Credit","Debetní nebo kreditní"
"Debug Mode","Ladící znaky"
"Direct Payment API","API pro přímé platby"
"Discount","Sleva "
"Displays on catalog pages and homepage.","Zobrazit na stránkách katalogu a titulní stránce."
"Don't have a PayPal account? Simply enter your email address.","Nemáte ještě účet PayPal? Jednoduše zadejte svou emailovou adresu."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Nemáte ještě PayPal účet obchodníka? Stále můžete přijímat platby a kreditní karty přes Payflow Pro Gateway."
"Dynamic","Dynamické"
"EFT Funding (German banking)","EFT financování (německé bankovnictví)"
"Edit Shopping Cart","Upravit košík"
"Email Associated with PayPal Merchant Account","Email přiřazený k PayPal účtu obchodníka"
"Enable Automatic Fetching","Povolit automatické načítání"
"Enable PayPal Guest Checkout","Povolit platby PayPal pro návštěvníky"
"Enabled","Povoleno"
"Event","Událost"
"Event Code","Kód události"
"Every 10 days","Každých 10 dní"
"Every 14 days","Každých 14 dní"
"Every 3 days","Každé tři dny"
"Every 30 days","Každých 30 dní"
"Every 40 days","Každých 40 dní"
"Every 7 days","Každých sedm dní"
"Exact Match. Address and Postal Code. International","Přesná shoda. Adresa a PSČ. Mezinárodní"
"Exact Match. Address and Postal Code. UK-specific","Přesná shoda. Adresa a PSČ. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Přesná shoda. Adresa a devíti-místné PSČ"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) nastavení"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Express Checkout nastavení"
"Express Checkout and Order have been canceled.","Expresní platba a objednávka byla zrušena."
"Express Checkout has been canceled.","Expresní platba byla zrušena."
"Failed to fetch reports from '%s@%s'.","Nepodařilo se načíst zprávy z '%s@%s'."
"Fee Amount","Výše poplatku"
"Fee Debit or Credit","Poplatek za debetní nebo kreditní"
"Fee Reversal","Storno poplatky"
"Fee: Foreign ACH Withdrawal","Poplatek: Zahraniční ACH zrušení"
"Fee: Mass Pay Request","Poplatek: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly",""
"Fee: WorldLink Check Withdrawal",""
"Fetch",""
"Fetch Updates",""
"Fetched %s report rows from '%s@%s'.",""
"Frontend Experience Settings",""
"Funding",""
"General (Authorization)","Obecné (Autorizace)"
"General (Dividend)","Obecné (dividendy)"
"General (Funds Transfer from PayPal Account to Another)","Obecné (převod prostředků z PayPal účtu na jiný)"
"General (Purchase with a credit card)","Obecné (nákup s kreditní kartou)"
"General Adjustment without businessrelated event","Obecné nastavení bez souvislostí s podnikáním"
"General Currency Conversion","Měnová konverze"
"General Funding of PayPal Account ","Generální financování PayPal účtu"
"General Redemption","Zpětný odkup"
"General Withdrawal from PayPal Account","Odstoupení od PayPal účtu"
"General. Product no longer supported","Produkt již není podporován"
"General: Use of PayPal account for purchasing as well as receiving payments","Obecně: Použít PayPal účet na nákup, i pro přijímání plateb"
"General: Withdrawal from PayPal Account","Obecné: Odstoupení od PayPal účtu"
"General: Withdrawal to Non-Bank Entity","Obecné: Zrušení nebankovního subjektu"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Získat kredit od PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Dárkový certifikát"
"Gift Certificate Redemption","Dárkový kupón"
"Gross Amount","Hrubý objem"
"Header Background Color","Barva pozadí záhlaví"
"Header Border Color","Barva hlavičky rámečku"
"Header Image URL","URL obrázku záhlaví"
"Help","Nápověda"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Pokud je prázdné, použije se výchozí hodnota. Vlastní URL mohou poskytovatCardinalCommerce dohody."
"If not specified, Default Country from General Config will be used","Pokud není vybráno, použije se výchozí země z nastavení"
