"""%s"" coupon code is not valid.","""%s"" kód kupónu není správný."
"%s","%s"
"%s / %s rate:","%s / %s sazba:"
"%s for %s","%s pro %s"
"%s order(s) cannot be canceled","Objednávka číslo %s nemůže být zrušena"
"%s order(s) have been canceled.","Objednávka %s nemůže být zrušena."
"%s order(s) have been put on hold.","Objednávka %s byla odložena."
"%s order(s) have been released from holding status.","Objednávka(y) %s byla obnovena z odloženého stavu."
"%s order(s) were not put on hold.","Objednávka %s nemůže být odložena."
"%s order(s) were not released from holding status.","Objednávka %s nemůže být obnovena z odloženého stavu."
"* - Enter custom price excluding tax","* - zadejte vlastní cenu bez daně"
"* - Enter custom price including tax","* - zadejte vlastní cenu obsahují daň"
"-- None --","-- Žádná --"
"-- Please Select --","-- Prosím vyberte --"
"-- Please Select Billing Agreement--","-- Prosím vyberte platební podmínky --"
"About This Order:","O objednávce:"
"About This Profile:","O profilu:"
"About Your Invoice","O Vaší faktuře"
"About Your Order","O Vaší objednávce"
"About Your Refund","O Vašem dobropisu"
"About Your Shipment","O Vaší zásilce"
"Accept Payment","Přijímáme platby"
"Accept or Deny Payment","Přijímat nebo odmítat platby"
"Account Information","Informace o účtu"
"Action","Akce"
"Actions","Akce"
"Activate","Aktivovat"
"Active","Aktivní"
"Add","Přidat"
"Add New Address","Přidat novou adresu"
"Add Order Comments","Přidat komentář k objednávce"
"Add Products","Přidat produkty"
"Add Selected Product(s) to Option","Přidat označené produkty do možností"
"Add Selected Product(s) to Order","Přidat označené do objednávky"
"Add To Order","Přidat do objednávky"
"Add Tracking Number","Přidat číslo na sledování zakázky"
"Add comment to order","Přidat komentář k objednávce"
"Add new comment to shipment","Přidat nový komentář k zásilce"
"Add new tracking number","Přidat číslo na sledování zakázky"
"Add to Cart","Přidat do košíku"
"Additional Product Info","Další informace o produktu"
"Address","Adresa"
"Address model is not defined.","Model adres není specifikován."
"Adjustment Fee","Úprava poplatků"
"Adjustment Refund","Upravit splátku"
"Agreement Information","Platební údaje"
"Allow Reorder","Povolit znovuobjednání"
"Amount","Částka"
"Amount: %s.","Množství: %s."
"An error occurred while assigning order status. Status has not been assigned.","Nastala chyba při přiřazování stavu objednávky. Stav nebyl přiřazen."
"An error occurred while saving order status. The status has not been added.","Nastala chyba při ukládání stavu objednávky. Stav nebyl přidán."
"An error occurred while unassigning order status.","Došlo k chybě při odebírání stavu objednávky."
"An error occurred while updating the order address. The address has not been changed.","Nastala chyba při aktualizaci adresy v objednávce. Adresa nebyla změněna."
"An item option with code %s already exists.","Zboží s tímto kódem (%s) již existuje"
"Append Comments","Přidat komentáře"
"Apply","Použít"
"Apply Coupon Code","Použít kód kupónu"
"Approved the payment online.","Schválené online platby."
"Are you sure you want to accept this payment?","Jste si jisti, že chcete zrušit platbu?"
"Are you sure you want to cancel this order?","Jste si jisti, že chcete zrušit tuto objednávku?"
"Are you sure you want to deny this payment?","Jste si jisti, že chcete zrušit platbu?"
"Are you sure you want to do this?","Jste si jisti, že chcete zrušit tuto objednávku?"
"Are you sure you want to send Creditmemo email to customer?","Jste si jisti, že chcete zaslat email o dobropisu zákazníkovi?"
"Are you sure you want to send Invoice email to customer?","Jste si jisti, že chcete zaslat email o faktuře zákazníkovi?"
"Are you sure you want to send Shipment email to customer?","Jste si jisti, že chcete zrušit email o zásilce zákazníkovi?"
"Are you sure you want to send order email to customer?","Jste si jisti, že chcete zaslat email o objednávce zákazníkovi?"
"Are you sure you want to void the payment?","Jste si jisti, že chcete zrušit platbu?"
"Are you sure?","Jste si jisti?"
"Are you sure? This order will be canceled and a new one will be created instead","Jste si jisti? Tato objednávka bude zrušena a místo ní bude vytvořena nová"
"Assign Order Status to State","Stav objednávky"
"Assign Status to State","Přiřazení stavu ke stavu."
"Assignment Information","Platební údaje"
"At least a payment ID must be set.","Musí být nastaveno ID platby."
"Authorization","Autorizace zrušena."
"Authorized amount of %s.","Povolené množství: %s."
"Authorizing amount of %s is pending approval on gateway.","Částka %s čeká na schválení platební bránou."
"Back","Zpět"
"Back to Billing Agreements","Stejná jako fakturační adresa"
"Back to My Orders","Zpět k mým objednávkám"
"Back to Recurring Profiles","Zpět na trvalé platby"
"Backordered","Nevyřízená objednávka"
"Bestsellers","Nejprodávanější"
"Bill to Name","Účet na jméno"
"Billing","Fakturační adresa"
"Billing Address","Fakturační adresa"
"Billing Agreement","Fakturační adresa"
"Billing Agreement # %s","Fakturační adresa"
"Billing Agreement #%s","Fakturační adresa"
"Billing Agreement View","Zobrazit platební podmínky"
"Billing Agreements","Fakturační adresa"
"Buy %s for price %s","Koupit %s za cenu %s"
"CSV","CSV"
"Cancel","Zrušit"
"Cancel invoice","Zrušit fakturu"
"Cancel order","Zrušit objednávku"
"Canceled","Zrušené"
"Canceled order offline.","Offline zrušená objednávka."
"Canceled order online.","Online zrušená objednávka."
"Cannot add order history.","Nelze přidat historii objednávky."
"Cannot create an empty shipment.","Nelze vyrobit prázdnou zásilku."
"Cannot determine the field name.","Nelze určit název pole."
"Cannot do invoice for order.","K objednávce nelze vytvořit fakturu."
"Cannot do shipment for order.","Nelze vyrobit dodací list pro objednávku."
"Cannot get order instance","Objednávku nelze zobrazit"
"Cannot get the order instance.","Objednávku nelze zobrazit"
"Cannot register an existing credit memo.","Není možné zaregistrovat existující dobropis"
"Cannot register existing invoice","Nelze registrovat existující fakturu"
"Cannot register existing shipment","Nelze registrovat existující nakládání"
"Capture","Zachycené"
"Capture Amount","Zachycené množství"
"Capture Offline","Offline zachycené"
"Capture Online","Online zachycené"
"Capture invoice","Zachycená faktura"
"Captured amount of %s online.","Online přijaté množství %s."
"Capturing amount of %s is pending approval on gateway.","Částka %s čeká na schválení platební bránou."
"Carrier","Přepravce"
"Carrier/Method","Přepravce"
"Change status, add comments","Změnit stav, přidat komentář"
"Changing address information will not recalculate shipping, tax or other order amount.","Změna adresy nevyvolá přepočítání dopravy, daní ani výši objednávky."
"Checkout Totals Sort Order","Řazení celkového součtu"
"City","Město"
"Click to change shipping method","Klikněte pro změnu doručovací metody"
"Close","Uzavřeno"
"Closed","Uzavřeno"
"Comma-separated.","Oddělené čárkami."
"Comment","Komentář"
"Comment Text","Text komentáře"
"Comments","Komentáře"
"Comments History","Historie komentářů"
"Company","Společnost"
"Complete","Hotovo"
"Configure","Nastavení"
"Configure and Add to Order","Nastavit a přidat do objednávky"
"Country","Země"
"Coupons","Kupóny"
"Create","Vytvořit"
"Create New Customer","Vytvořit nového zákazníka"
"Create New Order","Vytvořit novou objednávku"
"Create New Order Status","Vytvořit novou objednávku"
"Create New Order for %s","Vytvořit novou objednávku pro: %s"
"Create New Order for %s in %s","Vytvořit novou objednávku pro: %s v %s"
"Create New Order for New Customer","Vytvořit novou objednávku pro nového zákazníka"
"Create New Order for New Customer in %s","Vytvořit novou objednávku pro nového zákazníka v %s"
"Create New Status","Nový stav"
"Create Shipment","Vytvořit zásilku"
"Create new invoice for order","Vytvořit novou fakturu pro objednávku"
"Create new shipment for order","Vytvořit novou zásilku pro objednávku"
"Create...","Vytvořit"
"Created At","Vytvořeno v"
"Created billing agreement #%s.","Vytvořit platební podmínky #%s."
"Created:","Vytvořit"
"Credit Memo","Dobropis"
"Credit Memo #","Dobropis "
"Credit Memo # ","Dobropis"
