" for more information or ","pro více informací nebo"
"# of Items (and above)","Počet položek (a více)"
"# of Items vs. Destination","Počet položek – Místo určení"
"Allow Shipping to Multiple Addresses","Dovolit doručení na více adres"
"An error occurred while import table rates.","Nastala chyba při importu tabulky sazeb."
"Calculate Handling Fee","Vypočítat balné"
"Carrier:","Přepravce"
"City","Město"
"Close Window","Zavřít okno"
"Condition","Podmínka"
"Country","Země"
"Date","Datum"
"Delivered on:","Doručený na:"
"Delivered to:","Doručený v:"
"Description","Popis"
"Displayed Error Message","Zobrazeny chybové zprávy"
"Enabled","Povoleno"
"Error:","Chyba:"
"Export","Export"
"Fixed","Pevné"
"Flat Rate","Paušální sazba"
"Free Shipping","Dodání zdarma"
"Google Sitemap Section","Sekce Google sitemap"
"Handling Fee","Balné"
"Import","Import"
"Include Virtual Products in Price Calculation","Zahrnout virtuální produkty do výpočtu ceny"
"Info:","Info:"
"Invalid Table Rate code for type %s: %s","Chybná tabulka cen pro %s: %s"
"Invalid Table Rate code type: %s","Chybná tabulka cen pro: %s"
"Invalid Table Rates File Format","Chybný formát souboru tabulky poplatků"
"Local Time","Místní čas"
"Location","Umístění"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximální množství povolené pro doručování na více adres"
"Method Name","Jméno metody"
"Minimum Order Amount","Minimální množství objednávky"
"N/A","nedefinováno"
"None","Žádné"
"Options","Možnosti"
"Order Subtotal (and above)","Mezisoučet"
"Origin","Původ"
"Per Order","Na objednávku"
"Per Package","Na zásilku"
"Percent","Procent"
"Price","Cena"
"Price vs. Destination","Cena – Místo určení"
"Region/State","Kraj/Stát"
"Service Type:","Typ služby:"
"Ship to Applicable Countries","Doručení do vhodné země"
"Ship to Specific Countries","Doručení do vybrané země"
"Shipment #","Zásilka"
"Shipment Tracking Popup","Sledování zásilky Popup"
"Shipped or billed on:","Doručený nebo fakturovaný na:"
"Shipping Methods","Dodací metody"
"Shipping Methods Section","Dodací metody"
"Shipping Settings","Nastavení doručení"
"Shipping Settings Section","Nastavení doručení"
"Show Method if Not Applicable","Ukázat možnost, i když není použitelná"
"Signed by:","Podepsaný od:"
"Sort Order","Pořadí objednávek"
"Status:","Stav:"
"Store Pickup","Vyzvednutí"
"Table Rates","Tabulka sazeb"
"The shipping module is not available for selected delivery country.","Způsob doručení není dostupný pro vybranou zemi."
"The shipping module is not available.","Modul přepravy není dostupný."
"There is no tracking available for this shipment.","Tuto zásilku nelze sledovat."
"There is no tracking available.","Sledování zásilek není dostupné."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Tato metoda doručení není momentálně dostupná. Pokud ji chcete přesto pro doručení použít, prosím kontaktujte nás."
"This shipping method is not available, please specify ZIP-code","Tento způsob přepravy není dostupný, prosím upřesněte PSČ"
"Title","Nadpis"
"Track:","Sledování:"
"Tracking Information","Sledovací informace"
"Tracking Number:","Sledovat číslo"
"Tracking information is currently not available. Please ","Informace o sledování nejsou momentálně dostupné. Prosím "
"Tracking information is currently unavailable.","Informace o sledování nejsou momentálně dostupné. Prosím "
"Type","Typ"
"Weight (and above)","Váha (a více)"
"Weight vs. Destination","Váha – Místo určení"
"Weight:","Váha:"
"ZIP/Postal Code","PSČ"
"contact us","Kontaktujte nás"
"email us at ","napište nám na "
"#~ ""Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and ""#~ ""Value ""%s"")""","#~ ""Duplicitní řádek %s (Země ""%s"", Region/Stát ""%s"", PSČ ""%s"" a ""#~ ""hodnota ""%s"")"""
"Invalid %s ""%s"" in the Row #%s","Chyba %s ""%s"" na řádku %s"
"Invalid Country ""%s"" in the Row #%s","Chybná země ""%s"" na řádku %s"
"Invalid Region/State ""%s"" in the Row #%s","Chybný region/stát ""%s"" na řádce %s"
"Invalid Shipping Price ""%s"" in the Row #%s","Chybná cena přepravy ""%s"" na řádce %s"
